,Instrument,Date,Time,Open,High,Low,Close
6252,NIFTY,2012-04-30 10:00:00,10:00,5244.0,5244.15,5242.55,5243.05
6253,NIFTY,2012-04-30 11:00:00,11:00,5245.9,5247.55,5245.35,5245.9
6254,NIFTY,2012-04-30 12:00:00,12:00,5257.0,5262.15,5256.8,5260.75
6255,NIFTY,2012-04-30 13:00:00,13:00,5238.4,5241.2,5238.35,5241.15
6256,NIFTY,2012-04-30 14:00:00,14:00,5227.2,5227.65,5226.55,5226.8
6257,NIFTY,2012-04-30 15:00:00,15:00,5234.75,5234.75,5233.4,5233.55
6258,NIFTY,2012-05-02 10:00:00,10:00,5266.85,5267.05,5263.8,5263.8
6259,NIFTY,2012-05-02 11:00:00,11:00,5274.6,5274.65,5273.05,5273.55
6260,NIFTY,2012-05-02 12:00:00,12:00,5266.6,5267.45,5266.5,5267.45
6261,NIFTY,2012-05-02 13:00:00,13:00,5262.3,5262.4,5260.65,5260.85
6262,NIFTY,2012-05-02 14:00:00,14:00,5243.95,5244.85,5243.75,5244.7
6263,NIFTY,2012-05-02 15:00:00,15:00,5250.6,5250.9,5249.55,5250.55
